time;priceUsd
2019-08-09 20:00:00;11585.8484447945447472
2019-08-10 20:00:00;11377.1664882493293868
2019-08-11 20:00:00;11394.6225138869932343
2019-08-12 20:00:00;11146.3404441147997297
2019-08-13 20:00:00;10452.5481692320469499
2019-08-14 20:00:00;10040.3549884837026578
2019-08-15 20:00:00;10250.7246875711059188
2019-08-16 20:00:00;10326.4001420389685280
2019-08-17 20:00:00;10327.0755509885728133
2019-08-18 20:00:00;10627.3444014501841647
2019-08-19 20:00:00;10761.9039900391191245
2019-08-20 20:00:00;10213.4516796856326822
2019-08-21 20:00:00;10065.4769507210445584
2019-08-22 20:00:00;10274.1854154170397764
2019-08-23 20:00:00;10179.6173453762075661
2019-08-24 20:00:00;10128.7636063346117874
2019-08-25 20:00:00;10358.6220382130021632
2019-08-26 20:00:00;10199.5921734302680369
2019-08-27 20:00:00;10074.3724152886728474
2019-08-28 20:00:00;9546.7027428830962692
2019-08-29 20:00:00;9567.7074921305186331
2019-08-30 20:00:00;9625.9481675363395959
2019-08-31 20:00:00;9648.6550266896698847
2019-09-01 20:00:00;9947.6788207019578869
2019-09-02 20:00:00;10513.5386716031343967
2019-09-03 20:00:00;10563.4622545869587316
2019-09-04 20:00:00;10572.4789089539354141
2019-09-05 20:00:00;10664.3626315439329827
2019-09-06 20:00:00;10447.9519144891088475
2019-09-07 20:00:00;10496.8219845241068818
2019-09-08 20:00:00;10328.9537520134018350
2019-09-09 20:00:00;10254.5668376469541296
2019-09-10 20:00:00;10095.4233181312695758
2019-09-11 20:00:00;10248.4587735466018255
2019-09-12 20:00:00;10331.7278987166410327
2019-09-13 20:00:00;10363.7754359439251523
2019-09-14 20:00:00;10346.9386016283072862
2019-09-15 20:00:00;10282.4262810828046462
2019-09-16 20:00:00;10237.2288671400414881
2019-09-17 20:00:00;10215.5012430150048160
2019-09-18 20:00:00;10012.9364167443732947
2019-09-19 20:00:00;10197.7967069780923473
2019-09-20 20:00:00;10081.3500563935175931
2019-09-21 20:00:00;10034.9177354230181378
2019-09-22 20:00:00;9917.2933638132529170
2019-09-23 20:00:00;9459.9780858962221617
2019-09-24 20:00:00;8476.4826244953921721
2019-09-25 20:00:00;8285.4019263116372428
2019-09-26 20:00:00;8070.4601810535652782
2019-09-27 20:00:00;8189.1395336881663247
2019-09-28 20:00:00;8128.0126610798821608
2019-09-29 20:00:00;8115.6322707914805915
2019-09-30 20:00:00;8392.8002087954075812
2019-10-01 20:00:00;8302.3617481284488736
2019-10-02 20:00:00;8297.2321254701397393
2019-10-03 20:00:00;8193.9670180719726909
2019-10-04 20:00:00;8163.5156635283243295
2019-10-05 20:00:00;8054.5144288418952186
2019-10-06 20:00:00;8088.1919083012879873
2019-10-07 20:00:00;8234.9979559485173841
2019-10-08 20:00:00;8353.1318639029777982
2019-10-09 20:00:00;8564.1495490173149235
2019-10-10 20:00:00;8416.6020563302647356
2019-10-11 20:00:00;8365.9233448591407007
2019-10-12 20:00:00;8408.4460041605313683
2019-10-13 20:00:00;8332.1543496316712624
2019-10-14 20:00:00;8300.6098398215823623
2019-10-15 20:00:00;8106.3160807173216108
2019-10-16 20:00:00;8070.0692095064411492
2019-10-17 20:00:00;8010.8949974499093798
2019-10-18 20:00:00;8018.9668535982687631
